url,path,page_type,intent,slug,title,title_core,title_length,h1,meta_description,description_length,breadcrumb_label,og_title,og_description,sd_name,sd_headline,date_published,date_modified,slug_title_overlap,h1_title_overlap,likely_intent,year_note,issues,ctr_risk_refined,material_signals,severity,notes
https://www.expatcopilot.com/netherlands/,/netherlands/,country_hub,INDEXABLE,netherlands,Move to the Netherlands | ExpatCopilot,Move to the Netherlands,38,Move to the Netherlands with a clear plan,"Practical relocation platform with guides, tools, and country-specific routes for moving to the Netherlands. Step-by-step clarity for expats.",141,Netherlands,Move to the Netherlands | ExpatCopilot,"Practical relocation platform with guides, tools, and country-specific routes for moving to the Netherlands. Step-by-step clarity for expats.",ExpatCopilot,,,,,0.5,country_hub,,duplicate_title_x2|duplicate_description_x2|h1_title_differ_soft|likely_poor_ctr_risk:duplicate_title,yes,duplicate,P2,
https://www.expatcopilot.com/,/,homepage,INDEXABLE,,Move to the Netherlands | ExpatCopilot,Move to the Netherlands,38,Move to the Netherlands with a clear plan,"Practical relocation platform with guides, tools, and country-specific routes for moving to the Netherlands. Step-by-step clarity for expats.",141,Netherlands,Move to the Netherlands | ExpatCopilot,"Practical relocation platform with guides, tools, and country-specific routes for moving to the Netherlands. Step-by-step clarity for expats.",ExpatCopilot,,,,,0.5,homepage,,duplicate_title_x2|duplicate_description_x2|h1_title_differ_soft|likely_poor_ctr_risk:duplicate_title,yes,duplicate,P2,
https://www.expatcopilot.com/disclaimer/,/disclaimer/,trust_legal,INDEXABLE,disclaimer,Disclaimer | ExpatCopilot,Disclaimer,25,Disclaimer,"Read the ExpatCopilot disclaimer for important information about informational content, provider listings, and third-party links.",129,,ExpatCopilot,"Practical relocation guides, tools, and service discovery for expats moving to the Netherlands — visas, housing, banking, and settling in.",ExpatCopilot,,,,1.0,1.0,trust_legal,,very_short_title|og_title_differs_from_title,yes,short,P2,
https://www.expatcopilot.com/how-we-rank-services/,/how-we-rank-services/,trust_legal,INDEXABLE,how-we-rank-services,How We Rank and Review Services | ExpatCopilot,How We Rank and Review Services,46,How We Rank and Review Services,"Learn how ExpatCopilot structures service directories, compares providers, and approaches featured placements and future reviews.",129,,ExpatCopilot,"Practical relocation guides, tools, and service discovery for expats moving to the Netherlands — visas, housing, banking, and settling in.",ExpatCopilot,,,,1.0,1.0,trust_legal,,og_title_differs_from_title|templated_description_opening,soft,templated_desc,P3,
https://www.expatcopilot.com/affiliate-disclosure/,/affiliate-disclosure/,trust_legal,INDEXABLE,affiliate-disclosure,Affiliate Disclosure | ExpatCopilot,Affiliate Disclosure,35,Affiliate Disclosure,Read how ExpatCopilot may use affiliate or referral links and how commercial relationships are handled transparently.,117,,ExpatCopilot,"Practical relocation guides, tools, and service discovery for expats moving to the Netherlands — visas, housing, banking, and settling in.",ExpatCopilot,,,,1.0,1.0,trust_legal,,og_title_differs_from_title,no,,INFO,
https://www.expatcopilot.com/contact/,/contact/,trust_legal,INDEXABLE,contact,Contact ExpatCopilot | ExpatCopilot,Contact ExpatCopilot,35,Contact Us,"Contact ExpatCopilot for feedback, corrections, service listing questions, or general inquiries about the site.",111,,ExpatCopilot,"Practical relocation guides, tools, and service discovery for expats moving to the Netherlands — visas, housing, banking, and settling in.",ExpatCopilot,,,,1.0,0.33,trust_legal,,problematic_h1_title_mismatch|og_title_differs_from_title,yes,mismatch,P2,
https://www.expatcopilot.com/methodology/,/methodology/,trust_legal,INDEXABLE,methodology,Methodology | ExpatCopilot,Methodology,26,Methodology,"Learn how ExpatCopilot researches, structures, and maintains relocation guides, service directories, and decision-support content for expats moving to the Netherlands.",167,,ExpatCopilot,"Practical relocation guides, tools, and service discovery for expats moving to the Netherlands — visas, housing, banking, and settling in.",ExpatCopilot,,,,1.0,1.0,trust_legal,,very_short_title|og_title_differs_from_title|templated_description_opening,yes,short+templated_desc,P2,
https://www.expatcopilot.com/cookies/,/cookies/,trust_legal,INDEXABLE,cookies,Cookie Policy | ExpatCopilot,Cookie Policy,28,Cookie Policy,"Read how ExpatCopilot uses cookies and similar technologies, including analytics and site functionality.",104,,ExpatCopilot,"Practical relocation guides, tools, and service discovery for expats moving to the Netherlands — visas, housing, banking, and settling in.",ExpatCopilot,,,,0.0,1.0,trust_legal,,very_short_title|og_title_differs_from_title,yes,short,P2,
https://www.expatcopilot.com/how-this-site-works/,/how-this-site-works/,trust_legal,INDEXABLE,how-this-site-works,"How ExpatCopilot Works | Guides, Tools, Cities and Services for Expats | ExpatCopilot","How ExpatCopilot Works | Guides, Tools, Cities and Services for Expats",85,How This Site Works,"Learn how ExpatCopilot works, including how to use relocation guides, city pages, tools, concepts, and services to plan a move to the Netherlands.",146,,ExpatCopilot,"Practical relocation guides, tools, and service discovery for expats moving to the Netherlands — visas, housing, banking, and settling in.",ExpatCopilot,,,,0.5,0.17,trust_legal,,overly_long_title_core|overly_long_title_with_brand|problematic_h1_title_mismatch|og_title_differs_from_title|templated_description_opening|likely_poor_ctr_risk:truncated_risk,yes,long_title+mismatch+templated_desc,P2,
https://www.expatcopilot.com/netherlands/after-arriving-netherlands/,/netherlands/after-arriving-netherlands/,moving_guide,INDEXABLE,after-arriving-netherlands,"After Arriving in the Netherlands | BSN, Registration, DigiD, Insurance, Banking | ExpatCopilot","After Arriving in the Netherlands | BSN, Registration, DigiD, Insurance, Banking",95,After Arriving in the Netherlands: What to Do First,"A practical guide to what to do after arriving in the Netherlands, including municipality registration, BSN, residence permit collection, DigiD, health insurance, banking, and first-week setup.",193,After Arriving,"After Arriving in the Netherlands | BSN, Registration, DigiD, Insurance, Banking | ExpatCopilot","A practical guide to what to do after arriving in the Netherlands, including municipality registration, BSN, residence permit collection, DigiD, health insurance, banking, and first-week setup.",ExpatCopilot,After Arriving in the Netherlands: What to Do First,,2026-09-06,1.0,0.36,moving_guide,no year in title; topic often year-sensitive (2026),overly_long_title_core|overly_long_title_with_brand|overly_long_description|problematic_h1_title_mismatch|year_absent_but_may_help_ctr|likely_poor_ctr_risk:truncated_risk+freshness_signal_missing,yes,long_title+mismatch+year_opp,P2,no year in title; topic often year-sensitive (2026)
https://www.expatcopilot.com/netherlands/apostille-documents-netherlands/,/netherlands/apostille-documents-netherlands/,moving_guide,INDEXABLE,apostille-documents-netherlands,Apostille Documents Netherlands | How to Get an Apostille | ExpatCopilot,Apostille Documents Netherlands | How to Get an Apostille,72,Apostille Documents in the Netherlands,"Learn how apostille documents work in the Netherlands, when you need an apostille, how to obtain one, typical costs, timelines, and how apostilles are used for visas, municipality registration, and official administration.",222,Apostille Documents,Apostille Documents Netherlands | How to Get an Apostille | ExpatCopilot,"Learn how apostille documents work in the Netherlands, when you need an apostille, how to obtain one, typical costs, timelines, and how apostilles are used for visas, municipality registration, and official administration.",ExpatCopilot,Apostille Documents in the Netherlands,,2026-09-06,1.0,0.33,moving_guide,,overly_long_description|problematic_h1_title_mismatch|templated_description_opening,yes,mismatch+templated_desc,P2,
https://www.expatcopilot.com/netherlands/amstelveen/,/netherlands/amstelveen/,city_page,INDEXABLE,amstelveen,"Moving to Amstelveen as an Expat | Living in Amstelveen, Housing, Schools & Practical Setup | ExpatCopilot","Moving to Amstelveen as an Expat | Living in Amstelveen, Housing, Schools & Practical Setup",106,Moving to Amstelveen as an Expat,"Thinking about moving to Amstelveen? Explore why expats choose Amstelveen, what life is like, how registration and housing work, and which services can help you settle in.",171,Amstelveen,"Moving to Amstelveen as an Expat | Living in Amstelveen, Housing, Schools & Practical Setup | ExpatCopilot","Thinking about moving to Amstelveen? Explore why expats choose Amstelveen, what life is like, how registration and housing work, and which services can help you settle in.",ExpatCopilot,Moving to Amstelveen as an Expat,,2026-03-30,1.0,0.5,city_research,,overly_long_title_core|overly_long_title_with_brand|overly_long_description|h1_title_differ_soft|likely_poor_ctr_risk:truncated_risk,soft,long_title,P3,
